bar code species,BAT_Bon,BAT_Lec,BAT_Mve,LOP_Ang,LOP_BoM,LOP_Gdeb,LOP_BV1,LOP_Mab,LOP_BV2,LOP_Fou,LOP_Uap,LOP_Cag,LOP_SEG,LOP_StG,Mouila1,Mouila2,Mouila3,Tchib1,Tchib2,Tchib3
Schedorhinotermes putorius,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Foraminitermes sp 2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microtermes sp 1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0
Microtermes sp 2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
Microtermes 3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Acanthotermes acanthothorax,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odontotermes sp 1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Odontotermes sp 2,0,0,1,0,7,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Odontotermes sp 3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pseudacanthotermes militaris,0,0,0,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pseudacanthotermes sp 1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,10,5,0,8,0
Apico sp 1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apico sp 2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jugositermes tuberculatus,0,0,1,11,0,24,0,1,0,6,0,0,0,0,0,0,0,0,0,0
Apico sp 3,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Duplidentitermes sp 1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
?Machadotermes,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Pericapritermes sp 1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pericapritermes sp 2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pericapritermes sp 3,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Pericapritermes sp 4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pericapritermes sp 5,0,0,0,7,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Apico sp 3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cephalotermes rectangularis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcerotermes fuscotibialis,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcerotermes progrediens,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Microcerotermes sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1
Microcerotermes sp 4,0,0,4,0,0,0,0,0,0,4,0,0,0,0,2,2,0,5,6,4
Microcerotermes sp 5,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Microcerotermes parvus,0,0,0,56,12,11,1,2,0,9,0,0,0,0,0,0,0,0,4,0
Acholotermes sp 1,0,0,7,5,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Acholotermes sp 2,0,0,0,0,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderitotermes sp 1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,4,4,1,0,2,1
Adaiphrotermes sp 1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaiphrotermes sp 2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adaiphrotermes sp 3,1,0,5,0,3,0,0,1,0,0,0,0,0,0,0,4,1,0,7,2
Astalotermes sp 1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 2,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Atalotermes sp 3a,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 3b,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Alyscotermes kilimandjaricus,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alyscotermes sp 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
Alyscotermes sp 3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 5,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3
Astalotermes sp 8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Astalotermes sp 10,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Aderitotermes sp 1a,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderitotermes sp 2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes cf. quietus,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
Astalotermes sp 12,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 16,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 16,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 17,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0
Astalotermes sp 19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0
Astalotermes sp 20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 21,0,0,0,0,0,0,11,1,10,3,10,5,12,3,0,0,0,0,0,0
Anenteotermes sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anenteotermes sp 2,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Anenteotermes sp 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anenteotermes sp 4,0,0,0,0,0,0,5,0,0,2,10,9,14,8,0,3,4,0,0,1
Anenteotermes sp 6,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amalotermes phaeocephalus,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateuchotermes sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ateuchotermes sp 2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ateuchotermes sp 3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
